omimatricu;nombrenave;codigo_pais;id_agencia_arribo;codigotiponave;anoconstru;trb;dwt;eslora
1002342;PREDICTION;BMU;800.181.561-8;810;2000;489;0;39.24
1002706;KARIMA;BMU;800.181.561-8;810;2000;537;500;49
1002775;MARIA CATTIVA;NLD;73.072.533;516;2000;147;0;40
1004625;TALITHA;MAF;806.013.086-3;810;2000;1103;800;76.86
1005136;GOLDEN SHADOW;BMU;18.002.138-2;710;2000;1237;1387;11.8
1005679;SV TENACIOUS;GBR;800.256.551-8;516;2000;586;0;65
1006300;GEORGIA;CYM;800.116.249-8;516;2000;381;0;48
1006312;INDIGO;MHL;806.013.086-3;516;2000;224;0;32
1006594;"M.Y. ""DARDANELLA""";CYM;806.013.086-3;810;2000;283;200;36.88
1007225;MARIA CATTIVA;NLD;901.070.980-0;516;2000;147;0;40
1007275;"M.Y. ""AMANTI""";CYM;806.013.086-3;810;2000;863;2.8;51.75
10073-224-1;H20;FRA;900.330.976-3;516;2000;19.96;0;12.36
1007691;CACIQUE;CYM;800.181.561-8;810;2000;458;45;40.6
1007859;"M.Y. ""RELENTLESS""";CYM;806.013.086-3;810;2000;263;180;33.53
1009077;DENIKI;CYM;800.194.221-5;810;2000;642;680;45.83
1009223;AL MIRQAB;CYM;860.005.101-9;810;2000;9604;1627;133
1009479;MAYAN QUEEN IV;CYM;860.005.101-9;810;2000;3897;633;93.25
101006324;PIATA;BRA;900.141.249-6;516;2000;16;0;12.48
1010301;"M.Y. ""ALDABRA""";CYM;806.013.086-3;810;2000;619;570;44.9
1010399;NINGALOO;CYM;806.013.086-3;516;2000;243;0;40.59
1010820;SPIRIT;CYM;800.194.221-5;810;2000;656;196;47.18
1010985;PAMELA V;MLT;900.342.455-1;516;2000;482;0;38.54
1011707;CHRISTOPHER;CYM;800.194.221-5;810;2000;269;260;40.78
1011862;CARYALI;CYM;806.013.086-3;810;2000;470;510;40.84
1012309;ROMEA;CYM;900.105.050-5;810;2000;2312;3005;73.94
1012517;SAVANNAH;MHL;900.477.097-6;810;2000;2305;3350;80.16
1012957;M.Y. AVIVA;CYM;860.005.101-9;647;2000;4966;850;98.4
1013157;SAMAYA;MHL;800.116.249-8;810;2000;1347;1500;69
1020134;SEA MONSTER;USA;900.504.340-8;516;2000;28;0;16.25
10205ZA;SALLY LIGHTFOOT;NLD;900.504.340-8;516;2000;17;0;12
10205ZA2002;SALLY LIGHTFOOT;NLD;73.072.533;516;2000;17;0;12
1021054;ALOHA;USA;900.504.340-8;516;2000;11;0;12
1021145;GYPSY WIND;USA;73.072.533;516;2000;48;0;23
1021605;CONTENTO;USA;73.072.533;516;2000;15;0;14
1022254;FULL TILT;USA;900.342.455-1;516;2000;16;0;12.95
10225;RELAX;HKG;31.377.890-1;516;2000;3;0;11.5
1023407;STIK II IT;USA;73.072.533;810;2000;15;1;8.93
1024117;DOLCE VITA;USA;900.342.455-1;516;2000;13;0;11.6
1024168;TIVOLI;USA;73.072.533;516;2000;17;0;13
