omimatricula;cc_nit
8512944;835.001.707-2
8512968;800.246.993-7
8512982;860.532.426-7
8513510;802.008.802-6
8312095;900.477.097-6
8316431;830.506.584-3
8321905;806.004.569-0
8400634;835.001.707-2
8406432;860.532.426-7
8406432;830.506.584-3
8406444;860.532.426-7
8406444;830.506.584-3
8414738;900.477.097-6
8517944;806.004.569-0
8600208;860.031.615-2
8601434;800.116.249-8
8608066;806.004.569-0
8608078;806.004.569-0
8608169;806.004.569-0
8613061;800.116.249-8
8613308;800.249.687-1
8715871;800.249.687-1
8820212;860.005.101-9
8820717;800.116.249-8
8835842;900.189.529-0
8901133;800.116.249-8
8908832;860.532.426-7
8909111;900.477.097-6
8913540;835.001.707-2
8919544;830.506.584-3
9013438;860.532.426-7
9014896;860.532.426-7
9020261;890.903.069-2
9037288;835.001.500-5
9043093;800.116.249-8
08816K;890.903.069-2
10225;31.377.890-1
9063251;830.506.584-3
9070723;800.246.993-7
9070797;860.532.426-7
9072135;806.004.569-0
9121742;835.001.707-2
9122942;806.004.569-0
9125152;860.532.426-7
9125918;800.246.993-7
9127069;835.001.500-5
9127071;835.001.500-5
9127813;811.001.005-3
9087805;860.532.426-7
9087805;835.001.707-2
9103178;835.001.707-2
9216690;800.246.993-7
9216808;860.532.426-7
9221059;811.001.005-3
9149380;900.374.883-6
9149380;900.477.097-6
9149392;800.116.249-8
9149677;835.001.707-2
9152284;860.005.101-9
9152296;860.005.101-9
8112744;860.005.101-9
8205137;806.004.569-0
8300121;800.249.687-1
8306890;800.116.249-8
9195470;800.116.249-8
9196383;900.477.097-6
9196840;860.005.101-9
9196967;811.001.005-3
9196993;811.001.005-3
9197428;835.001.707-2
7931973;890.903.069-2
8013613;860.031.615-2
8021282;860.532.426-7
9168154;800.067.129-1
9168879;811.001.005-3
9169316;860.006.765-3
9169861;860.532.426-7
9170640;860.532.426-7
9174282;802.008.802-6
9152478;835.001.707-2
9154270;835.001.500-5
9154567;860.532.426-7
9154579;800.246.993-7
9156773;800.116.249-8
9156785;860.532.426-7
9232890;800.249.687-1
8508577;835.001.707-2
9180358;860.532.426-7
9181651;800.249.687-1
9132480;835.001.707-2
9134268;811.001.005-3
9134634;800.249.687-1
9138513;806.004.569-0
9228150;800.116.249-8
9230012;835.001.500-5
9231999;800.246.993-7
9232199;900.477.097-6
9050682;860.532.426-7
9062295;835.001.500-5
9213961;860.532.426-7
9214032;800.116.249-8
9214537;835.001.707-2
9215189;860.005.101-9
9221839;860.031.615-2
9222120;860.005.101-9
7101889;890.903.069-2
9158276;802.008.802-6
9158410;800.067.129-1
9162485;860.005.101-9
9162497;860.005.101-9
9163001;800.067.129-1
9163568;835.001.707-2
9164160;800.116.249-8
9043639;806.004.569-0
9043641;806.004.569-0
9210438;806.004.569-0
9211547;800.246.993-7
9211547;800.116.249-8
9181675;800.249.687-1
9243382;900.477.097-6
9243473;860.006.765-3
9243526;900.477.097-6
9244245;835.001.707-2
9244855;900.477.097-6
9215828;802.008.802-6
9215830;802.008.802-6
9226671;900.477.097-6
9283203;860.005.101-9
9283215;860.005.101-9
9215842;802.008.802-6
9215854;802.008.802-6
9283227;860.005.101-9
9283239;860.005.101-9
9215866;802.008.802-6
9215880;860.005.101-9
8919879;830.506.584-3
9002166;800.116.249-8
9007532;860.532.426-7
9205615;835.001.707-2
9205964;860.006.765-3
9258985;800.246.993-7
9261061;900.477.097-6
9261815;860.006.765-3
9175705;811.001.005-3
9176577;806.004.569-0
9276248;835.001.707-2
9277486;860.532.426-7
9278088;860.005.101-9
9197545;860.005.101-9
9197935;860.532.426-7
9199842;900.477.097-6
9261827;860.005.101-9
9116149;860.532.426-7
9116345;860.532.426-7
9117612;800.116.249-8
9117856;900.477.097-6
9118147;800.116.249-8
9119995;860.532.426-7
9299795;860.031.615-2
9261970;835.001.707-2
9261970;860.532.426-7
9262558;900.477.097-6
9262778;890.903.069-2
9263198;800.116.249-8
9244946;860.005.101-9
9245249;800.067.129-1
9249025;835.001.500-5
9249271;800.246.993-7
9249594;835.001.500-5
9249594;860.532.426-7
9249594;800.067.129-1
9278155;800.249.687-1
9278727;860.005.101-9
9278739;800.246.993-7
9278777;800.067.129-1
9278911;860.532.426-7
9279329;860.006.765-3
9284776;806.004.569-0
9285639;806.004.569-0
9286774;800.159.356-2
9232369;835.001.500-5
9266188;860.532.426-7
9270919;900.477.097-6
9272199;806.004.569-0
9279367;900.477.097-6
9279745;860.031.615-2
9279769;860.031.615-2
9279812;806.004.569-0
9282259;800.249.687-1
9235969;900.477.097-6
9294549;800.249.687-1
9295830;860.031.615-2
9296781;800.246.993-7
9297474;811.001.005-3
9297864;811.001.005-3
9185920;800.116.249-8
9253260;860.532.426-7
9254642;835.001.707-2
9254654;860.532.426-7
9255050;860.532.426-7
9256391;811.001.005-3
9303156;860.006.765-3
9303869;900.477.097-6
9303871;900.469.304-2
9304306;800.116.249-8
9304746;800.249.687-1
9282261;800.249.687-1
9282780;835.001.707-2
9283186;860.005.101-9
9283198;860.005.101-9
9263241;900.477.097-6
9263772;835.001.707-2
