abreviatura_pais;nombre;codigo_pais
AFG;AFGANISTAN;004
ALB;ALBANIA;008
DZA;ARGELIA;012
AND;ANDORRA;020
ATG;ANTIGUA;028
ARG;ARGENTINA;032
AUS;AUSTRALIA;036
AUT;AUSTRIA;040
BHS;BAHAMAS;044
BGD;BANGLADESH;050
BRD;BARBADOS;052
BEL;BELGICA;056
BMU;ISLAS BERMUDAS;060
BOL;BOLIVIA;068
BRA;BRASIL;076
BLZ;BELIZE;084
VGB;ISLAS VIRGENES, BRITANICAS;092
BRN;BRUNEI;096
BGR;BULGARIA;100
KHM;CAMBOYA;116
CMR;CAMERUN;120
CAN;CANADA;124
CPV;CABO VERDE;132
CYM;ISLAS CAYMAN;136
LKA;SRI LANKA;144
CHL;CHILE;152
CHN;CHINA;156
TWN;TAIWAN;158
CCK;COOK, ISLAS;166
COL;COLOMBIA;170
COM;COMOROS;174
CRI;COSTA RICA;188
HRV;CROACIA;191
CYP;CHIPRE;196
CZE;CHECOSLOVAQUIA;203
BEN;BENIN;204
DNK;DINAMARCA;208
DMA;DOMINICA;212
DOM;REPUBLICA DOMINICANA;214
ECU;ECUADOR;218
SLV;EL SALVADOR;222
FRO;FAEROES ,ISLAS;234
FLK;ISLAS MALVINAS;238
FIN;FINLANDIA;246
FRA;FRANCIA;250
DJI;DJIBOUTI;262
GAB;GABON;266
DEU;ALEMANIA;276
GIB;GIBRALTAR;292
GRC;GRECIA;300
GRD;GRANADA;308
GTM;GUATEMALA;320
HND;HONDURAS;340
HKG;HONG KONG;344
HUN;HUNGRIA;348
ISL;ISLANDIA;352
IND;INDIA;356
IRL;IRLANDA;372
ISR;ISRAEL;376
ITA;ITALIA;380
JAM;JAMAICA;388
JPN;JAPON;392
PRK;KOREA DEL NORTE, DEMOCRATICA;408
KOR;COREA DEL SUR, REPUBLICA DE;410
LBN;LIBANO;422
LVA;LETONIA;428
LBR;LIBERIA;430
LBY;LIBIA;434
LTU;LITUANIA;440
LUX;LUXEMBURGO;442
MYS;MALASIA;458
MLT;MALTA;470
MTQ;MARTINICA;474
MRT;MAURITANIA;478
MUS;MAURICIO;480
MEX;MEXICO;484
MCO;MONACO;492
MDA;MOLDAVIA;498
MSR;MONSERRAT;500
MAR;MARRUECOS;504
NPL;NEPAL;524
NLD;HOLANDA;528
ANT;ANTILLAS HOLANDESAS;530
CUW;CURACAO;531
ABW;ARUBA;533
VUT;VANUATU;548
NZL;NUEVA ZELANDIA;554
NIC;NICARAGUA;558
NOR;NORUEGA;578
FSM;ESTADOS FEDERADOS MICRONESIA;583
MHL;ISLAS MARSHALL;584
PLW;REPUBLICA DE PALAOS;585
PAK;PAKISTAN;586
PAN;PANAMA;591
PNG;PAPUA, NUEVA GUINEA;598
PER;PERU;604
PHL;FILIPINAS;608
POL;POLONIA;616
PRT;PORTUGAL;620
PRI;PUERTO RICO;630
QAT;QATAR;634
RUS;RUSIA;643
KNA;SAINT KITTS & NEVIS;659
MAF;SAN MARTIN (PARTE HOLANDESA);663
SPM;SAN PEDRO Y MIGUELON;666
VCT;SAN VINCENT AND THE GRENADINES;670
STP;SANTO TOME Y PRINCIPE;678
SAU;ARABIA SAUDITA;682
SYC;SEYCHELLES;690
SLE;SIERRA LEONA;694
SGP;SINGAPUR;702
SVK;SLOVAQUIA;703
VNM;VIETNAM;704
SVN;ESLOVENIA;705
ZAF;SUDAFRICA;710
ESP;ESPANA;724
SWE;SUECIA;752
CHE;SUIZA;756
THA;TAILANDIA;764
TGO;TOGO;768
TTO;TRINIDAD & TOBAGO;780
ARE;UNION DE EMIRATOS ARABES;784
TUR;TURQUIA;792
TCA;TURCAS Y CAICOS, ISLAS;796
TUV;TUVALU;798
GBR;REINO UNIDO;826
IMN;ISLA DE MAN;833
TZA;TANZANIA;834
USA;USA;840
VIR;ISLAS VIRGENES, ESTADOS UNIDOS;850
VEN;VENEZUELA;862
WLF;WALLIS Y  FUTURA, ISLAS;876
YEM;YEMEN;887
