id_puerto;nom_puerto;abreviatura_pais;geometry
CGDJE;Djeno Terminal;COG;POINT (11.91494626500003 -4.914767961999985)
CASKI;Charlotte (Skidegate);CAN;POINT (-132.0307 53.247333868)
USHOI;Homer;USA;POINT (-151.4137 59.60433386800003)
USHAS;Hartsdale;USA;POINT (-73.99630000000002 40.71213386800002)
GBKGH;Killingholme;GBR;POINT (-0.2198000000000206 53.64833386800001)
GBSHO;Shoreham;GBR;POINT (-0.2674000000000092 50.83573386799998)
GBSND;Southend;GBR;POINT (0.7194999999999823 51.53383386799999)
ARSFN;Santa Fe;ARG;POINT (-60.66789999999997 -31.61446613200002)
IDPUM;Pomala;IDN;POINT (121.5349 -4.251366131999987)
VEPLV;Punta De Palmas;VEN;POINT (-71.62709999999998 10.44413386799999)
CRMOB;Moin Bay;CRI;POINT (-83.02480000000003 9.952833868000027)
CACPT;Canaport;CAN;POINT (-65.98390000000001 45.20773386799999)
USWSE;Winslow;USA;POINT (-122.5223 47.619833868)
USWFO;West Foreland;USA;POINT (-151.7215 60.71273386799999)
USRWC;Redwood City;USA;POINT (-122.4698 37.83443386800002)
USSWS;Shawano;USA;POINT (-89.4033 28.92823386800001)
USXJB;Mars;USA;POINT (-91.79849999999999 29.480333868)
GBSUL;Sullom Voe;GBR;POINT (-1.275500000000022 60.47193386800001)
ITSLA;Salina;ITA;POINT (14.82830000000001 38.582233868)
NGPEN;Pennington;NGA;POINT (5.60250000000002 4.249733868000021)
GREEU;Eleusis;GRC;POINT (23.54790000000003 38.03993386799999)
GRJSY;Syros (Syra);GRC;POINT (24.94110000000001 37.43593386800001)
IDTKA;Telok Ayer;IDN;POINT (109.552632986 -0.7469447450000075)
NGESC;Escravos;NGA;POINT (5.198533408000003 5.610025396000026)
REPDG;Pointe Des Galets;REU;POINT (55.29250000000002 -20.91106613199997)
ROSUL;Sulina (Port Et Zone Franche);ROU;POINT (29.67489999999998 45.16293386799998)
SADMN;Damman;SAU;POINT (50.20549999999997 26.48993386799998)
MXTIJ;Tijuana;MEX;POINT (-117.1219 32.47963386800001)
UYJIT;Jose Ignacio Terminal;URY;POINT (-54.70830000000001 -34.89656613199998)
DOPVA;Puerto Viejo De Azua;DOM;POINT (-70.6848 18.42953386800002)
IRKHK;Khark Island;IRN;POINT (50.30489999999998 29.22823386800002)
IRMRX;Bandar Mahshahr;IRN;POINT (49.21010000000001 30.50053386799999)
ITPFX;Porto Foxi (Sarroch);ITA;POINT (9.016900000000021 39.09023386799998)
VNMUT;My Tho;VNM;POINT (105.4819 10.33193386800002)
NGKOK;Koko;NGA;POINT (5.459189724999987 5.998754840999993)
CAPUG;Pugwash;CAN;POINT (-63.53579999999999 45.79153386799999)
BELGG;Liege (Luik);BEL;POINT (5.577099999999973 50.62873386799998)
JPNAH;Naha;JPN;POINT (127.690100995 26.25034650999999)
USDES;Des Plaines;USA;POINT (-90.3614 29.93513386799998)
GBOAK;Oakhamness;GBR;POINT (0.6204999999999927 51.42433386800002)
GBHST;Hunterston;GBR;POINT (-4.871600000000001 55.689133868)
GBFAS;Faslane;GBR;POINT (-4.825800000000015 56.06673386799997)
ESPMI;Palma Mallorca;ESP;POINT (2.629700000000014 39.56053386799999)
JPMOJ;Moji;JPN;POINT (130.965788635 33.95200533500002)
MMBSX;Bassein;MMR;POINT (94.73081588700001 16.78112248600002)
PAPLP;La Palma;PAN;POINT (-78.00380000000001 8.224133868000024)
PTLAJ;Lajes;PRT;POINT (-31.1814 39.377533868)
QAUMS;Mesaieed;QAT;POINT (51.56569999999999 24.91644153700003)
ARPCO;Punta Colorada;ARG;POINT (-64.99520000000001 -41.682266132)
BSSRP;South Riding Point;BHS;POINT (-78.24110000000002 26.61903386799997)
IRBND;Bandar Abbas;IRN;POINT (56.19110000000001 27.14493386800001)
SGWDL;Woodlands;SGP;POINT (103.6885 1.427933868000025)
JPAIO;Aioi;JPN;POINT (134.461389905 34.78671972000001)
KRMUK;Mukho;KOR;POINT (129.1207000000001 37.54733386800001)
RUARM;Arman;RUS;POINT (150.7717 59.56153386800003)
MXTUX;Tuxpan;MEX;POINT (-97.40429999999998 20.96053386800003)
IDKID;Kidjang;IDN;POINT (104.6133 0.8495338679999804)
VEMIV;Puerto Miranda / Maracaibo L.;VEN;POINT (-71.5591 10.77253386799998)
DOBRX;Barahona;DOM;POINT (-71.0849 18.20893386799997)
VELSV;La Salina / Maracaibo L;VEN;POINT (-71.42219999999998 10.35053386800001)
MMMNU;Moulmein;MMR;POINT (97.624769211 16.48411487499999)
EGSKT;Sidi Kerir;EGY;POINT (29.67231828600001 31.05442279699997)
DKSTG;Stignaesvaerkets Havn;DNK;POINT (11.25009999999997 55.22133386799999)
FIINK;Inkoo;FIN;POINT (23.92450000000002 59.997533868)
BSCRI;Crooked Island;BHS;POINT (-74.16609999999997 22.755933868)
BRFNO;Forno;BRA;POINT (-42.01089999999999 -22.96046613200002)
CUTAN;Tanamo;CUB;POINT (-75.33260000000001 20.72303386800002)
CYKAL;Kalecik;CYP;POINT (33.97449999999998 35.31693386799998)
EGALY;El Iskandariya;EGY;POINT (29.87990000000002 31.14933386799999)
EGRSH;Ras Shukheir;EGY;POINT (33.27429999999998 28.14033386800003)
IDSMQ;Sampit;IDN;POINT (113.0103 -3.035066131999997)
IRLIN;Lingah;IRN;POINT (54.88589999999999 26.56263386799998)
IQBSR;Basrah;IRQ;POINT (47.84969999999998 30.51143387000002)
JPHBK;Hibiki;JPN;POINT (130.773168359 33.93547540499998)
JPYWT;Yawata;JPN;POINT (130.7883872800001 33.89188675600002)
DOSDQ;Santo Domingo;DOM;POINT (-69.88081089500002 18.47497959100002)
SAJUT;Juaymah Terminal;SAU;POINT (50.05349999999999 26.92903386799998)
TTTEM;Tembladora;TTO;POINT (-61.58159999999998 10.67823386800001)
TRHAY;Haydarpasa;TUR;POINT (29.02949999999998 41.00063386800002)
