cod_tiponave;nom_tiponave;categoria_trb;categoria_eslora
1;PASAJE;1;1
110;TRANSPORTADOR PASAJEROS (CRUCERO);2;1
111;TRANSPORTE DE CARGA Y PASAJEROS;1;0
119;CARGA GENERAL;1;1
120;CARGA REFRIGERADA;3;2
121;BARCAZA TRANSPORTE GRANEL LIQUIDO;2;1
129;REFRIGERADOR CC;3;2
130;TRANSPORTADOR DE CONTAINERS;3;2
143;SEMI SUMERGIBLE - TRANSPORTE CARGA SOBREDIMENSIONADA;3;3
145;RO/RO;2;2
146;RO/RO C.C;4;2
171;TRANSPORTADOR VEHICULOS;4;2
180;TRANSPORTADOR DE GANADO;3;3
200;TANQUEROS;3;3
221;TANQUERO QUIMICOS;2;2
222;TANQUERO ACEITES COMESTIBLES;3;2
3;CARGA;1;1
300;TRANSPORTE PASAJEROS RO/RO;3;2
330;FERRY;2;1
4;TANQUEROS;2;1
400;GRANELERO / CARGO CONTAINER;3;0
401;GRANELERO POR VOLUMEN;3;2
402;GRANELERO AUTO DESCARGABLE;3;2
450;GRANELERO / ACEITE;4;3
5;LPG;3;2
510;PESQUERO;2;1
516;VELERO;1;1
517;CONTROL DE POLUCION;2;1
518;CATAMARAN;1;1
521;FACTORIA PESCADO;1;1
534;TRANSPORTADOR PESCADO;1;1
553;BALLENERO;1;1
6;PESCA;1;1
613;TRANSPORTADOR MINERAL;3;3
643;DRAGA - NO ESPECIFICA;2;1
644;PLATAFORMA EXPLORACION;3;2
645;SUMINISTRO INSTALACIONES;2;1
646;SERVICIO EN PUERTO;2;1
647;TRANSPORTE DE PASAJEROS;1;1
648;LANCHAS DE DESEMBARCO;1;1
650;MULTIPONTON;3;2
660;GRUA FLOTANTE;2;1
7;REMOLCADORES;2;1
710;INVESTIGACION;2;1
711;INSTALACION DE FIBRA;3;2
8;RECREO O DEPORTIVOS;1;1
810;YATE;2;1
830;APOYO LOGISTICO ALTAMAR;1;1
9;TRANSPORTADOR CEMENTO;2;2
903;REMOLCADOR  -TUG-;1;1
905;TANQUERO TRANSPORTE ASFALTO;2;2
99;OTRO;2;1
